AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.1,0.46,-9.98,-0.0,0.01,0.03
0.18,0.42,-9.96,-0.0,0.01,0.02
0.17,0.43,-9.95,-0.01,0.0,0.03
0.16,0.46,-9.98,-0.02,0.0,0.03
0.24,0.36,-9.92,0.01,0.01,0.02
0.05,0.7,-9.73,0.31,0.11,0.04
0.0,0.66,-9.84,-0.09,-0.01,0.02
0.09,0.65,-9.85,-0.09,-0.02,0.02
0.24,0.46,-9.9,-0.09,-0.02,0.03
0.2,0.46,-9.94,-0.16,-0.04,0.01
0.22,0.34,-9.86,-0.16,-0.03,0.03
0.18,0.35,-9.97,-0.1,-0.02,0.02
0.21,0.31,-10.04,0.0,0.01,0.02
0.21,0.4,-9.95,0.01,0.01,0.03
0.18,0.5,-9.87,0.08,0.03,0.03
0.23,0.47,-9.98,0.13,0.04,0.03
0.14,0.47,-9.92,-0.1,-0.01,0.03
0.23,0.47,-9.9,0.03,0.02,0.02
0.24,0.37,-9.97,-0.02,0.01,0.03
0.04,0.48,-9.92,-0.07,-0.01,0.03
0.17,0.51,-9.99,0.01,0.0,0.02
0.17,0.4,-9.97,0.01,0.02,0.03
0.17,0.46,-9.96,-0.07,-0.01,0.02
0.19,0.4,-9.96,-0.06,-0.01,0.02
0.25,0.49,-9.92,-0.08,-0.01,0.03
0.18,0.47,-9.9,-0.03,0.0,0.02
0.2,0.36,-9.91,-0.03,0.0,0.03
0.19,0.41,-9.85,-0.07,-0.02,0.03
0.21,0.46,-9.89,0.02,0.01,0.03
0.18,0.46,-9.97,-0.02,-0.0,0.02
0.17,0.43,-9.95,-0.06,-0.0,0.03
0.21,0.38,-9.89,0.05,0.03,0.03
0.13,0.4,-9.92,-0.04,0.01,0.02
0.17,0.39,-9.9,-0.03,0.0,0.03
0.09,0.48,-9.93,0.11,0.06,0.03
0.18,0.53,-9.94,0.12,0.05,0.03
0.18,0.48,-9.89,-0.12,-0.03,0.01
0.23,0.44,-9.9,0.14,0.06,0.04
0.13,0.36,-9.96,0.03,0.02,0.03
0.12,0.45,-9.84,0.0,0.02,0.02
0.29,0.41,-9.89,0.14,0.05,0.03
0.21,0.45,-10.04,-0.02,0.01,0.03
0.22,0.45,-9.89,0.04,0.03,0.02
0.19,0.38,-9.91,0.03,0.02,0.03
0.18,0.35,-9.99,-0.09,-0.01,0.02
0.18,0.34,-9.97,0.06,0.03,0.03
0.19,0.42,-9.93,0.01,0.01,0.03
0.22,0.48,-9.97,-0.02,0.0,0.02
0.1,0.57,-9.87,-0.03,0.0,0.02
0.11,0.48,-9.94,0.01,0.01,0.03
0.12,0.41,-10.0,-0.09,-0.02,0.02
0.16,0.43,-9.96,-0.07,-0.01,0.03
0.18,0.44,-9.96,-0.04,-0.01,0.02
0.18,0.44,-9.98,-0.05,0.0,0.03
0.17,0.35,-9.93,-0.03,0.0,0.03
0.21,0.38,-9.92,0.0,0.01,0.03
0.19,0.39,-10.05,-0.0,0.0,0.02
0.14,0.35,-9.94,-0.02,0.02,0.03
0.17,0.41,-10.19,0.08,0.04,0.04
0.22,0.35,-10.05,0.02,0.02,0.03
0.07,0.41,-9.99,-0.01,0.01,0.03
0.15,0.42,-9.96,0.0,0.0,0.02
0.19,0.36,-9.9,-0.01,0.0,0.02
0.15,0.4,-10.02,-0.01,0.01,0.02
0.26,0.43,-9.98,0.2,0.07,0.03
0.19,0.4,-10.03,0.1,0.03,0.03
0.07,0.45,-9.86,-0.04,0.0,0.02
0.12,0.45,-9.82,0.18,0.06,0.04
0.17,0.41,-10.02,-0.07,-0.01,0.03
0.25,0.48,-9.96,-0.07,-0.01,0.02
0.21,0.43,-9.97,0.07,0.03,0.03
0.18,0.34,-9.91,-0.08,-0.01,0.02
0.13,0.38,-9.96,-0.07,-0.01,0.03
0.21,0.39,-9.91,0.02,0.02,0.03
0.15,0.34,-9.93,-0.04,0.0,0.02
0.18,0.43,-9.97,-0.01,0.0,0.03
0.23,0.35,-9.99,0.04,0.02,0.03
0.25,0.4,-10.04,-0.03,0.0,0.03
0.19,0.4,-10.0,0.01,0.01,0.03
0.21,0.42,-9.84,0.01,0.01,0.03
0.18,0.49,-9.91,0.0,0.01,0.03
0.17,0.36,-10.0,-0.04,0.01,0.03
0.21,0.38,-9.96,-0.05,0.0,0.03
0.17,0.44,-9.94,0.02,0.02,0.03
0.2,0.38,-10.08,-0.03,-0.0,0.02
0.24,0.4,-9.95,0.0,0.01,0.02
0.24,0.37,-9.96,-0.04,-0.0,0.02
