AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.37,-0.48,-10.05,-0.01,0.01,0.03
0.37,-0.48,-10.05,-0.01,0.01,0.02
0.53,-0.34,-10.04,-0.01,0.01,0.02
0.58,-0.3,-9.96,-0.01,0.01,0.03
0.6,-0.42,-10.02,-0.01,0.0,0.03
0.6,-0.42,-10.02,-0.02,-0.0,0.03
0.48,-0.41,-10.03,-0.02,0.0,0.03
0.34,-0.42,-9.98,-0.02,0.0,0.03
0.34,-0.42,-9.98,-0.02,0.01,0.03
0.31,-0.43,-9.98,-0.01,0.01,0.02
0.31,-0.51,-9.96,-0.01,0.01,0.03
0.45,-0.5,-9.95,-0.01,0.02,0.02
0.45,-0.5,-9.95,-0.01,0.0,0.03
0.56,-0.43,-9.98,-0.01,0.01,0.03
0.44,-0.36,-10.0,-0.01,0.01,0.03
0.49,-0.4,-9.93,-0.01,0.0,0.03
0.49,-0.4,-9.93,-0.01,0.0,0.03
0.49,-0.43,-10.0,-0.02,0.0,0.03
0.31,-0.42,-10.05,-0.02,0.01,0.02
0.31,-0.42,-10.05,-0.02,0.01,0.02
0.44,-0.43,-10.08,-0.0,0.01,0.03
0.41,-0.41,-9.94,-0.01,0.01,0.02
0.52,-0.41,-9.93,-0.01,0.01,0.03
0.52,-0.41,-9.93,-0.02,0.01,0.02
0.42,-0.41,-10.01,-0.01,0.01,0.02
0.42,-0.42,-10.02,-0.01,0.0,0.02
0.42,-0.42,-10.02,-0.01,0.0,0.02
0.46,-0.4,-10.05,-0.01,0.0,0.02
0.42,-0.38,-9.99,-0.01,0.0,0.04
0.4,-0.39,-9.96,-0.01,0.0,0.02
0.4,-0.39,-9.96,-0.01,0.01,0.03
0.51,-0.41,-10.01,-0.01,0.0,0.03
0.47,-0.45,-9.98,-0.02,0.01,0.03
0.39,-0.49,-10.01,-0.01,0.0,0.02
0.39,-0.49,-10.01,-0.01,0.01,0.03
0.46,-0.39,-10.02,-0.01,0.0,0.03
0.41,-0.41,-9.96,-0.01,0.0,0.02
0.41,-0.41,-9.96,-0.0,0.0,0.03
0.37,-0.41,-9.98,-0.02,0.01,0.03
0.37,-0.41,-9.94,-0.01,0.0,0.03
0.43,-0.45,-9.96,-0.01,0.0,0.03
0.43,-0.45,-9.96,-0.01,0.01,0.03
0.5,-0.39,-9.97,-0.01,0.0,0.02
