AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.43,-0.37,-9.99,-0.01,0.01,0.03
0.44,-0.45,-10.0,-0.02,0.01,0.03
0.44,-0.45,-10.0,-0.02,0.01,0.02
0.34,-0.4,-9.93,-0.01,0.01,0.03
0.45,-0.37,-9.96,-0.02,0.01,0.03
0.41,-0.47,-9.95,-0.02,0.01,0.02
0.41,-0.47,-9.95,-0.02,0.01,0.03
0.48,-0.31,-9.96,-0.01,0.0,0.02
0.4,-0.4,-9.9,-0.01,0.01,0.02
0.4,-0.4,-9.9,-0.01,0.0,0.02
0.46,-0.43,-10.08,-0.01,0.0,0.03
0.42,-0.42,-9.9,-0.01,0.0,0.03
0.37,-0.48,-10.01,-0.02,0.01,0.02
0.37,-0.48,-10.01,-0.01,0.01,0.02
0.39,-0.41,-9.95,-0.02,0.01,0.03
0.39,-0.42,-10.0,-0.01,0.01,0.03
0.46,-0.38,-10.01,-0.01,0.0,0.02
0.46,-0.38,-10.01,-0.01,0.01,0.03
0.42,-0.42,-10.08,-0.01,0.01,0.03
0.47,-0.4,-10.06,-0.01,0.01,0.02
0.47,-0.4,-10.06,-0.01,0.01,0.03
0.38,-0.41,-9.98,-0.01,0.01,0.02
0.38,-0.42,-9.99,-0.01,0.0,0.02
0.42,-0.45,-10.02,-0.01,0.01,0.03
0.42,-0.45,-10.02,-0.01,0.0,0.03
0.47,-0.41,-10.0,-0.01,0.01,0.02
0.44,-0.35,-9.99,-0.01,0.01,0.03
0.44,-0.35,-9.99,-0.01,0.01,0.02
0.44,-0.45,-9.95,-0.01,0.0,0.02
0.49,-0.45,-10.01,-0.02,0.01,0.03
0.43,-0.41,-9.9,-0.01,0.0,0.03
0.43,-0.41,-9.9,-0.01,0.01,0.03
0.48,-0.37,-9.94,-0.01,0.01,0.03
0.45,-0.48,-10.01,-0.01,0.0,0.02
0.43,-0.43,-9.94,-0.01,0.01,0.02
0.43,-0.43,-9.94,-0.01,0.01,0.02
0.46,-0.45,-10.03,-0.01,0.01,0.02
0.49,-0.43,-10.0,-0.01,0.01,0.02
0.49,-0.43,-10.0,-0.01,0.01,0.02
0.43,-0.39,-9.9,-0.01,0.01,0.03
